,label,text
0,Psoriasis,"I have been encountering a skin hasty on my arms, legs, and middle for the past few weeks. It is ruddy, bothersome, and secured in dry, textured patches."
1,Psoriasis,"My skin has been peeling, particularly on my knees, elbows, and scalp. This peeling is regularly went with by a burning or stinging sensation."
2,Psoriasis,"I have been encountering joint torment in my fingers, wrists, and knees. The torment is frequently throbbing and throbbing, and it gets more awful when I move my joints."
3,Psoriasis,"There's a silver like cleaning on my skin, particularly on my lower back and scalp. This cleaning is made up of little scales that drop off effortlessly when I scratch them."
4,Psoriasis,"My nails have little marks or pits in them, and they frequently feel incendiary and delicate to the touch. Indeed there are minor rashes on my arms."
5,Psoriasis,The skin on my palms and soles is thickened and has profound breaks. These breaks are difficult and drain effortlessly.
6,Psoriasis,"The skin around my mouth, nose, and eyes is ruddy and kindled. It is regularly bothersome and awkward. There's a recognizable aggravation in my nails."
7,Psoriasis,My skin is exceptionally delicate and responds effortlessly to changes in temperature or mugginess. I frequently need to use caution approximately what items I utilize on my skin.
8,Psoriasis,"I have taken note a sudden peeling of skin at diverse parts of my body, basically arms, legs and back. Too, I confront serious joint torment and skin rashes."
9,Psoriasis,"The skin on my private parts is ruddy and kindled. It is regularly bothersome, burning, and awkward. There are rashes on distinctive parts of the body as well."
10,Psoriasis,"I have experienced weakness and a common feeling of disquietude. I frequently feel tired and have a need of vitality, indeed after a great night's rest."
11,Psoriasis,"The hasty on my skin has spread to other parts of my body, counting my chest and guts. It is bothersome and awkward, and it is frequently more awful at night. I am moreover confronting skin peeling."
12,Psoriasis,The hasty on my skin is more regrettable within the winter months when the discuss is dry. I find that I got to moisturize more as often as possible and utilize humidifiers to keep my skin hydrated.
13,Psoriasis,"I have experienced trouble resting due to the tingling and inconvenience caused by the hasty. There are little marks in my nails, which is truly concerning."
14,Psoriasis,"My skin is inclined to contaminations due to dry, flaky patches. I am encountering a solid torment in my joints. The skin on my knees and elbows is beginning to peel off."
15,Psoriasis,"I am beginning to have rashes on my skin. The hasty frequently drains when I scratch or rub it. Additionally, I have taken note little scratches in my nails."
16,Psoriasis,"I have taken note that my skin has gotten to be more delicate than it utilized to be. There's a silver like cleaning on my skin, particularly on my back and elbows."
17,Psoriasis,"I am stressed approximately the steady peeling of the skin on my palm, elbow and knee. I have created rashes on my arms, which tingle on the off chance that I touch them. All of these are making my life very discomforting and hopeless."
18,Psoriasis,"There's unusual torment in my joints. Too, I have taken note unusual peeling of skin in several parts of my body. I am perplexed there's something off-base going on with my body."
19,Psoriasis,"My nails have little marks on them. Indeed my joints have begun to torment extremely. There's a silver like tidying on my skin, especially in my back."
